,AccountID,User,Report,Contact,Planner,Analitic,Handbook,UserGroup,WorkSpace,CrmTemplate,Process_Task,TaskTemplate,TaskFilter_CRM,HandbookEntries,ProjectTemplate,TaskFilter_Task,CustomField_Task,TaskFilter_Project,EmailFileAttachment,TaskCustomField_AnaliticTotal,Trigger,RobotUser,TaskStatus,EmailFilter,EmailGenericInbox,Zapier,AccessByIP,MobileApp,CustomField_Project,MacrosButtons,CustomField_CRM,Integration_Maps,Telephony,TechAdmin,CustomGroupField_Task,TaskCustomField_SubtasksSum,FileTemplate,PlannerSchedule,Process_Contact,ActiveContact,WorkSpaceLogo,CustomGroupField_CRM,TaskCustomField_Formula,ContactAccessToCompanyTasks,Integration_OpenAI,Integration_Fb,Orgtree,Integration_Telegram,TelegramGroupChat,Integration_Viber,EmailSmtp,EmailTemplate,Lang_Ru,Lang_En,Lang_Uk,Integration_TelegramBot,CustomGroupField_Project,MindMap,EmailSignature,QuickResponse,Integration_WhatsApp,Integration_Instagram,ReportSave,VoiceMessage,GoogleCalendar,ReportExportTemplate,Lang_Ro,TwoStepAuth,Integration_WebChat,Integration_Chatra,Integration_Vk,BelarusTaxPortalIntegration,AutocompleteIntegrationBilling,GoogleContacts,ScheduledReport,TaskObject,Lang_Pl,Integration_Avito,Integration_Twilio,Lang_De,DadataIntegration
63,310944,1.0,9.0,1.0,3.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,310952,1.0,11.0,2.0,1.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,310958,1.0,22.0,2.0,8.0,1.0,,1.0,,2.0,,2.0,4.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,310966,1.0,11.0,1.0,4.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,310980,1.0,9.0,2.0,3.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,311002,2.0,11.0,1.0,4.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,311006,1.0,9.0,1.0,3.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,311014,1.0,11.0,1.0,4.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,311020,1.0,11.0,1.0,4.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,311034,6.0,11.0,3.0,3.0,9.0,23.0,3.0,2.0,4.0,2.0,4.0,27.0,702.0,,17.0,49.0,,1.0,9.0,67.0,2.0,7.0,,,,,,,1.0,36.0,,,1.0,,,,,,1.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,311036,2.0,16.0,7.0,8.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,311050,,5.0,1.0,12.0,4.0,1.0,3.0,1.0,8.0,1.0,7.0,9.0,8.0,,8.0,7.0,,1.0,3.0,13.0,1.0,9.0,1.0,1.0,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,311052,1.0,9.0,2.0,3.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,311056,1.0,11.0,1.0,7.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,1.0,3.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
