,AccountID,User,Report,Contact,Planner,Analitic,UserGroup,CrmTemplate,TaskTemplate,TaskFilter_CRM,TaskFilter_Task,EmailFileAttachment,Trigger,Handbook,RobotUser,WorkSpace,TaskStatus,EmailFilter,FileTemplate,Process_Task,MacrosButtons,CustomField_CRM,HandbookEntries,Process_Contact,CustomField_Task,EmailGenericInbox,TaskCustomField_AnaliticTotal,MobileApp,AccessByIP,ProjectTemplate,TaskFilter_Project,CustomField_Project,EmailSignature,CustomGroupField_Task,WorkSpaceLogo,PlannerSchedule,Integration_Maps,Orgtree,DadataIntegration,AutocompleteIntegrationBilling,MindMap,EmailSmtp,CustomGroupField_CRM,Integration_TelegramBot,TaskCustomField_Formula,CustomGroupField_Project,Integration_WhatsApp,QuickResponse,GoogleCalendar,TelegramGroupChat,Integration_Telegram,Integration_Fb,Integration_Instagram,EmailTemplate,TaskCustomField_SubtasksSum,Telephony,ContactAccessToCompanyTasks,ActiveContact,Integration_Vk,ReportSave,TechAdmin,Integration_Avito,VoiceMessage,Lang_Ru,Integration_OpenAI,Zapier,BelarusTaxPortalIntegration,Integration_Chatra,EmailLastActions,Lang_En,Integration_Viber,TwoStepAuth,ScheduledReport,Lang_Uk,TaskObject,WorkSpaceColor,Integration_WebChat,ReportExportTemplate,GoogleContacts
63,310514,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,310520,6.0,16.0,1.0,8.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,,2.0,,1.0,,,,1.0,,,4.0,,5.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,310524,1.0,11.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,310532,1.0,16.0,1.0,8.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,,1.0,,1.0,,,,1.0,,,4.0,,5.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,310536,1.0,11.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,310538,3.0,11.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,310544,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,310546,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,310548,7.0,11.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,310552,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,310554,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,310556,2.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,310558,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,310560,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,310566,2.0,11.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,310572,1.0,16.0,11.0,8.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,,1.0,,1.0,,,,1.0,,,4.0,,6.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,310578,1.0,11.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,310582,1.0,11.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,13.0,1.0,1.0,1.0,3.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
